LAYER_ID,ZONE_ID,HK,VKA,SY,SS,WETDRY
1,1,17,99,0.0475,5.00E-05,0.18
1,2,17,99,0.0475,5.00E-05,0.18
1,3,17,99,0.0475,5.00E-05,0.18
1,4,17,99,0.0475,5.00E-05,0.18
1,5,17,99,0.0475,5.00E-05,0.18
1,6,17,99,0.0475,5.00E-05,0.18
1,7,17,99,0.0475,5.00E-05,0.18
1,8,17,99,0.0475,5.00E-05,0.18
1,9,17,99,0.0475,5.00E-05,0.18
1,10,17,99,0.0475,5.00E-05,0.18
1,11,17,99,0.0475,5.00E-05,0.18
1,12,17,99,0.0475,5.00E-05,0.18
1,13,17,99,0.0475,5.00E-05,0.18
2,1,4,5,0,1.00E-05,0
2,2,1.291025186,20,0,1.00E-05,0
2,3,1.291025186,20,0,1.00E-05,0
2,4,1.291025186,20,0,1.00E-05,0
2,5,4.455254102,10,0,1.00E-05,0
2,6,1.291025186,20,0,1.00E-05,0
2,7,1.291025186,20,0,1.00E-05,0
2,8,18,10,0,1.00E-04,0
2,9,1.291025186,20,0,1.00E-05,0
2,10,1.291025186,20,0,1.00E-05,0
2,11,1.291025186,20,0,1.00E-05,0
2,12,5.931905381,10,0,1.00E-05,0
2,13,1.291025186,20,0,1.00E-05,0
